,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state
newCases,,,,,,,,,,,,,1,0,0,0,1,0,2,0,2,8,5,10,9,17,28,45,2,3,20,36,16,26,30,14,39,56,27,33,68,27,34,55,41,43,52,56,9,69,19,55,63,56,77,35,41,53,25,111,62,67,38,63,109,69,108,88,95,229,105,153,165,173,180,114,83,115,298,217,246,278,137,84,282,309,310,399,343,330,294,554,495,675,546,398,834,206,269,1071,1024,961,944,764,180,219,1399,947,1658,508,767,347,296,1323,1559,1146,1253,336,1277,979,1446,1426,6122,2075,1775,1123,1137,2583,3123,2644,2607,2325,1343,1271,MG
newCases,,,,,,,,,,,,,,,,,,,2,0,2,2,1,2,3,4,5,0,3,0,1,3,3,5,8,4,3,2,7,2,3,1,14,5,4,8,3,1,12,2,6,10,12,18,7,3,2,2,11,27,4,17,4,2,9,6,6,5,6,2,9,5,23,15,20,16,23,20,25,22,27,29,62,43,29,51,53,59,53,165,77,86,76,94,62,71,79,78,156,123,72,135,121,71,131,142,256,148,234,198,118,234,379,110,392,324,247,154,393,417,322,390,394,220,149,289,711,386,326,522,179,164,434,0,MS
newCases,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,4,1,2,2,0,2,3,2,7,3,13,3,16,0,16,2,12,18,4,9,2,11,4,13,5,6,9,3,7,0,24,16,20,6,3,7,6,29,10,18,13,4,7,22,19,34,45,38,17,26,59,69,61,58,65,44,40,64,85,97,84,92,101,130,150,165,176,177,151,72,151,181,212,359,205,195,245,210,261,258,330,298,349,369,282,487,484,805,559,537,514,494,747,554,1030,805,722,559,641,976,1097,955,1184,793,748,997,1428,MT
newCases,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,1,0,2,6,3,2,2,6,8,7,8,26,7,4,37,31,13,2,48,20,22,51,74,103,70,70,14,44,217,124,169,72,312,166,325,149,100,267,413,360,368,193,342,494,768,411,584,499,330,721,990,1285,1135,1159,826,737,1266,1710,1752,1603,2165,1428,690,2551,2516,1789,3461,2164,563,102,2053,3638,2821,3000,4387,0,411,3299,3066,2769,1746,1177,2182,714,2019,2949,2431,3449,2809,1773,1366,2616,3072,2328,2436,2841,1130,764,1999,2647,2214,2344,2120,1280,724,1617,2592,PA
newCases,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,2,1,4,4,0,3,1,3,8,3,2,1,1,5,14,24,6,16,10,25,16,13,30,10,31,9,18,38,44,41,61,52,44,90,65,116,112,108,135,50,142,132,164,192,182,125,185,184,252,268,316,378,324,284,439,514,538,400,644,626,315,193,903,1290,923,879,851,300,533,1164,1159,1561,1000,1208,523,641,1501,1580,1338,1186,898,559,655,1460,1584,1670,1716,1428,263,469,1746,913,912,2008,1410,437,378,1900,1218,1361,1229,1541,422,418,1651,PB
newCases,,,,,,,,,,,,,,,,,2,0,5,1,0,10,1,9,3,2,4,5,0,4,2,9,11,5,5,9,8,11,30,40,25,22,129,49,154,129,132,144,194,130,200,199,323,187,266,231,218,390,307,394,508,391,460,366,470,682,458,811,498,220,462,556,943,763,883,805,493,541,592,687,621,2279,964,642,1148,1318,1351,1849,1026,973,607,488,1065,794,1542,1172,1023,450,608,955,1044,1004,850,881,463,305,925,1059,878,799,590,246,920,1019,1180,1094,1398,995,381,337,1191,1114,668,1285,1018,369,382,847,1414,1243,1095,1672,513,509,PE
newCases,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,2,0,2,1,0,1,1,3,4,0,1,0,3,2,0,2,5,7,2,1,3,7,7,17,16,11,21,21,14,28,20,11,39,41,34,33,44,46,59,87,65,77,42,91,74,102,80,102,45,54,111,169,172,121,180,167,35,153,197,215,222,184,132,160,170,246,277,260,242,186,188,387,322,236,653,388,373,143,306,432,464,514,488,328,204,524,678,540,468,1246,451,212,793,958,853,943,642,493,595,669,1637,1248,1069,1185,518,432,1003,897,PI
newCases,,,,,,,,,,,,,,,,,6,0,0,0,0,6,3,9,13,7,10,6,10,27,9,19,12,15,8,25,44,29,49,94,44,21,45,39,71,34,33,62,18,35,13,29,42,73,42,20,17,38,19,37,22,16,30,85,78,59,41,46,23,48,27,39,31,56,75,50,14,57,93,68,76,105,44,74,129,137,199,130,162,113,124,183,201,273,259,238,214,148,335,332,328,539,259,294,134,289,524,635,249,535,353,133,851,535,834,873,889,680,623,729,1110,859,850,1147,923,584,1551,1348,2079,1863,2404,888,1311,1539,PR
newCases,,,,,,,,,,1,1,0,1,0,5,5,3,0,6,2,7,2,30,3,43,10,67,47,72,65,51,72,65,42,57,51,124,160,82,172,148,67,227,250,278,248,143,248,376,179,333,201,405,194,222,134,407,246,620,110,546,283,833,560,365,584,713,380,593,582,670,904,861,1585,1188,133,877,547,242,739,520,1614,637,4427,1140,2567,1717,1500,944,3379,1386,726,2374,2488,3067,4467,968,1142,2202,2508,1692,2134,1467,3223,1743,3480,1394,1402,2009,1052,736,1374,2397,3620,354,6061,2159,596,1439,3297,2624,2404,2600,306,2495,585,728,2667,1545,2133,1484,852,587,2207,RJ
newCases,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,5,3,4,0,1,0,5,9,40,0,9,5,10,14,70,39,31,0,8,8,0,1,26,50,37,23,1,63,53,45,34,13,38,62,46,27,44,7,25,229,91,120,69,26,29,115,108,95,82,98,0,11,103,334,170,249,0,218,134,345,313,264,191,348,0,175,698,158,0,833,939,0,649,182,916,133,151,16,0,1439,139,541,1666,310,245,382,43,998,478,199,150,3167,84,667,118,1769,894,1068,447,48,5483,568,1612,998,525,835,323,411,753,11,RN
newCases,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2,0,1,0,0,0,2,1,0,1,0,1,3,4,5,3,2,4,2,8,0,27,4,19,18,18,32,39,24,0,27,40,38,36,29,20,20,69,83,69,51,51,105,82,155,124,41,39,96,62,152,74,108,125,44,80,370,86,160,115,335,92,67,225,369,390,250,241,199,230,305,237,745,403,839,409,516,594,630,697,677,486,155,315,830,557,237,549,599,229,646,672,925,749,1098,464,85,586,845,272,447,271,716,522,442,643,RO
newCases,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,6,0,2,2,4,0,0,0,10,4,7,5,0,0,7,3,11,12,4,4,30,1,28,22,37,21,22,3,33,17,7,41,56,6,18,0,27,67,83,66,72,66,63,63,88,104,78,88,5,116,0,89,89,117,85,91,106,79,79,160,133,0,125,118,277,139,201,176,217,158,293,0,688,407,291,239,288,291,247,118,130,33,6,54,215,271,229,387,83,68,2152,463,1069,1039,167,1263,118,182,512,2430,740,446,153,26,140,196,RR
newCases,,,,,,,,,,,,,,,1,1,2,0,2,0,2,2,9,12,12,26,8,19,16,50,28,7,3,30,24,51,11,70,24,8,50,33,54,26,55,4,13,11,21,35,42,30,39,23,15,35,14,52,69,57,70,42,48,94,70,109,90,47,24,78,251,81,82,311,49,34,232,109,80,104,594,39,1,15,48,1175,500,445,418,134,89,226,263,1186,609,399,90,164,423,479,612,573,454,98,115,552,817,549,216,243,34,777,1033,657,694,765,551,210,362,1154,1145,1051,1054,886,243,416,1282,1230,1024,1176,1248,336,446,1399,RS
newCases,,,,,,,,,,,,,,,,,2,1,2,1,1,0,7,7,19,17,11,18,23,13,27,14,21,13,22,16,12,34,20,55,23,38,40,44,192,24,15,44,50,27,31,42,36,13,50,38,28,24,55,39,26,102,139,519,90,309,-290,242,173,104,172,122,165,123,167,57,100,204,95,504,230,116,98,399,238,86,111,848,149,89,179,141,356,628,530,250,257,461,162,374,499,313,439,280,177,450,402,359,212,131,64,600,442,613,558,759,776,474,355,1307,1677,1030,996,861,556,692,1298,925,1296,1686,1670,1038,853,1521,SC
newCases,,,,,,,,,,,,,,,,,,,1,0,4,0,1,0,1,3,0,0,5,1,0,0,0,0,2,1,3,2,3,5,0,0,4,3,1,2,2,0,1,1,2,5,5,13,15,6,25,1,17,10,9,21,36,69,57,116,64,84,129,42,126,100,216,224,150,183,29,232,236,226,374,267,208,223,401,310,457,188,209,183,134,287,177,244,306,343,194,234,322,434,211,377,395,318,437,399,489,441,478,1332,1102,1707,635,497,531,470,641,536,399,499,470,728,827,1411,1102,396,594,1201,0,1574,1575,456,501,922,SE
newCases,1,0,0,1,0,0,0,0,1,3,4,3,3,0,3,11,16,10,9,71,16,12,77,45,110,63,172,114,65,52,191,170,183,45,66,822,642,525,542,418,154,246,816,1026,772,736,203,336,140,476,1672,525,1273,1053,373,313,805,529,826,1086,2178,711,981,2345,2117,2540,1676,800,598,415,1866,3800,2075,1902,2581,1033,687,1588,3378,3189,4092,2805,1162,721,2929,3864,3880,3132,3687,1603,1464,2392,3466,6382,5691,5586,2556,1598,6999,5188,5717,5365,5984,2524,1520,5545,6178,6204,5380,4975,5327,3258,8825,1232,1111,19030,4135,3392,2788,7502,9347,9765,9921,7073,6156,3408,6235,8555,12244,8523,1828,7649,2891,9638,SP
newCases,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,3,2,0,0,1,1,0,1,1,1,0,0,1,3,1,2,0,4,0,0,2,1,0,1,2,2,1,1,1,1,2,0,6,7,8,9,12,37,21,27,27,55,21,36,48,72,71,79,115,59,81,104,97,150,100,0,217,150,163,167,229,225,0,161,105,162,165,254,334,370,195,169,138,215,183,624,139,0,408,205,272,215,187,41,165,172,264,201,182,247,151,123,289,332,327,256,285,262,131,405,458,232,282,546,194,164,364,0,TO
newCases,1,0,0,1,0,0,0,0,1,4,7,5,6,0,9,19,36,17,36,83,54,54,181,129,331,224,396,358,303,311,424,486,479,358,350,1161,1107,1169,1112,1169,1043,838,1821,2175,1937,1742,1055,1464,1412,1909,3242,2082,3296,2778,2022,1740,2742,2744,3875,3911,5298,3715,4145,6233,6199,7327,5539,4915,4443,6982,7408,10544,9732,10407,10155,6259,6223,9613,11694,14133,15460,13945,7766,14559,17489,20232,18137,21807,16997,14363,12912,16327,19945,28591,26890,32321,13223,15149,31677,26085,31653,32402,23790,17988,17338,31698,33790,28692,24282,21230,16794,24617,36983,30925,25520,56059,28857,16567,26495,39527,41033,41464,44884,36920,32883,21550,39680,46825,44401,43040,33567,25192,24367,45203,TOTAL
