,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state
deaths_by_totalCases,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038299999999999996,0.00727,0.00955,0.01081,0.01511,0.01395,0.01205,0.01714,0.01968,0.0228,0.0229,0.02436,0.02267,0.02481,0.02822,0.030539999999999998,0.03322,0.03445,0.03428,0.03621,0.0338,0.034480000000000004,0.035769999999999996,0.03663,0.03899,0.03805,0.03916,0.03941,0.03909,0.04306,0.04551,0.04488,0.04548,0.0435,0.04202,0.03835,0.03834,0.037239999999999995,0.03827,0.03772,0.03778,0.03676,0.03645,0.036969999999999996,0.036160000000000005,0.03519,0.0348,0.033530000000000004,0.03383,0.03429,0.03355,0.03348,0.03413,0.033530000000000004,0.03424,0.033889999999999997,0.03304,0.03113,0.029960000000000004,0.02936,0.027839999999999997,0.02731,0.0259,0.02605,0.02642,0.025480000000000003,0.02478,0.02458,0.024630000000000003,0.02394,0.02392,0.02478,0.02337,0.02336,0.022180000000000002,0.022019999999999998,0.02222,0.02214,0.02279,0.023,0.02289,0.023030000000000002,0.02329,0.02391,0.023790000000000002,0.02408,0.0246,0.0246,0.021419999999999998,0.02153,0.02103,0.02143,0.02144,0.021159999999999998,0.020880000000000003,0.02081,0.02114,0.02061,0.020630000000000003,0.02105,MG
deaths_by_totalCases,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02083,0.01961,0.018869999999999998,0.016669999999999997,0.016130000000000002,0.015380000000000001,0.01515,0.025,0.023530000000000002,0.02247,0.02062,0.02,0.0198,0.0354,0.03478,0.03306,0.038169999999999996,0.03497,0.03106,0.02976,0.02924,0.03468,0.03429,0.037630000000000004,0.03286,0.032260000000000004,0.029910000000000003,0.03782,0.0375,0.03614,0.035289999999999995,0.034480000000000004,0.03383,0.03676,0.0365,0.035339999999999996,0.03472,0.03215,0.03374,0.03179,0.030389999999999997,0.028569999999999998,0.02963,0.03023,0.030969999999999998,0.029230000000000003,0.02953,0.02632,0.0261,0.024919999999999998,0.02453,0.02279,0.02112,0.019809999999999998,0.01662,0.01545,0.01518,0.01426,0.013269999999999999,0.0134,0.013430000000000001,0.012759999999999999,0.01215,0.0111,0.01039,0.01052,0.00985,0.00932,0.009470000000000001,0.00896,0.00924,0.008759999999999999,0.00933,0.00866,0.00903,0.009290000000000001,0.00951,0.00865,0.00912,0.00857,0.008620000000000001,0.00859,0.00872,0.00951,0.00903,0.00935,0.0094,0.009309999999999999,0.00957,0.009770000000000001,0.00954,0.0098,0.01004,0.0114,0.0115,0.0116,0.0119,0.01198,0.01198,MS
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,6,7,9,11,11,13,16,18,25,28,41,44,60,60,76,78,90,108,112,121,123,134,138,151,156,162,171,174,181,181,205,221,241,247,250,257,263,292,302,320,333,337,344,366,385,419,464,502,519,545,604,673,734,792,857,901,941,1005,1090,1187,1271,1363,1464,1594,1744,1909,2085,2262,2413,2485,2636,2817,3029,3388,3593,3788,4033,4243,4504,4762,5092,5390,5739,6108,6390,6877,7361,8166,8725,9262,9776,10270,11017,11571,12601,13406,14128,14687,15328,16304,17401,18356,19540,20333,21081,22078,23506,MT
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,4,5,5,7,13,16,18,20,26,34,41,49,75,82,86,123,154,167,169,217,237,259,310,384,487,557,627,641,685,902,1026,1195,1267,1579,1745,2070,2219,2319,2586,2999,3359,3727,3920,4262,4756,5524,5935,6519,7018,7348,8069,9059,10344,11479,12638,13464,14201,15467,17177,18929,20532,22697,24125,24815,27366,29882,31671,35132,37296,37859,37961,40014,43652,46473,49473,53860,53860,54271,57570,60636,63405,65151,66328,68510,69224,71243,74192,76623,80072,82881,84654,86020,88636,91708,94036,96472,99313,100443,101207,103206,105853,108067,110411,112531,113811,114535,116152,118744,PA
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,3,5,6,10,14,14,17,18,21,29,32,34,35,36,41,55,79,85,101,111,136,152,165,195,205,236,245,263,301,345,386,447,499,543,633,698,814,926,1034,1169,1219,1361,1493,1657,1849,2031,2156,2341,2525,2777,3045,3361,3739,4063,4347,4786,5300,5838,6238,6882,7508,7823,8016,8919,10209,11132,12011,12862,13162,13695,14859,16018,17579,18579,19787,20310,20951,22452,24032,25370,26556,27454,28013,28668,30128,31712,33382,35098,36526,36789,37258,39004,39917,40829,42837,44247,44684,45062,46962,48180,49541,50770,52311,52733,53151,54802,PB
totalCases,,,,,,,,,,,,,,,,,2,2,7,8,8,18,19,28,31,33,37,42,42,46,48,57,68,73,78,87,95,106,136,176,201,223,352,401,555,684,816,960,1154,1284,1484,1683,2006,2193,2459,2690,2908,3298,3605,3999,4507,4898,5358,5724,6194,6876,7334,8145,8643,8863,9325,9881,10824,11587,12470,13275,13768,14309,14901,15588,16209,18488,19452,20094,21242,22560,23911,25760,26786,27759,28366,28854,29919,30713,32255,33427,34450,34900,35508,36463,37507,38511,39361,40242,40705,41010,41935,42994,43872,44671,45261,45507,46427,47446,48626,49720,51118,52113,52494,52831,54022,55136,55804,57089,58107,58476,58858,59705,61119,62362,63457,65129,65642,66151,PE
totalCases,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,6,6,8,9,9,10,11,14,18,18,19,19,22,24,24,26,31,38,40,41,44,51,58,75,91,102,123,144,158,186,206,217,256,297,331,364,408,454,513,600,665,742,784,875,949,1051,1131,1233,1278,1332,1443,1612,1784,1905,2085,2252,2287,2440,2637,2852,3074,3258,3390,3550,3720,3966,4243,4503,4745,4931,5119,5506,5828,6064,6717,7105,7478,7621,7927,8359,8823,9337,9825,10153,10357,10881,11559,12099,12567,13813,14264,14476,15269,16227,17080,18023,18665,19158,19753,20422,22059,23307,24376,25561,26079,26511,27514,28411,PI
deaths_by_totalCases,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0146,0.01316,0.01875,0.01622,0.0131,0.0155,0.01629,0.01746,0.02247,0.030039999999999997,0.02935,0.030910000000000003,0.03865,0.039689999999999996,0.03924,0.04133,0.04297,0.04857,0.05025,0.05089,0.04961,0.051039999999999995,0.0519,0.05186,0.05294,0.05571,0.05657,0.05914,0.061470000000000004,0.06405,0.06411,0.06143,0.061579999999999996,0.06184,0.06284,0.06159,0.06262000000000001,0.06135,0.06343,0.06315,0.06377000000000001,0.06286,0.06081,0.06025,0.060860000000000004,0.0601,0.059320000000000005,0.05835,0.05722000000000001,0.05546,0.05484,0.05439,0.0528,0.05271,0.05044,0.04992,0.04862,0.04785,0.04728,0.04598,0.04432,0.04306,0.0414,0.04099,0.03935,0.0398,0.03897,0.03772,0.03732,0.03621,0.035710000000000006,0.03492,0.03511,0.035089999999999996,0.035539999999999995,0.03361,0.03425,0.034210000000000004,0.03441,0.03476,0.0348,0.0351,0.03441,0.0331,0.03162,0.0311,0.031010000000000003,0.03141,0.03071,0.030239999999999996,0.03021,0.02901,0.02888,0.028739999999999998,0.02837,0.02737,0.02684,0.02585,0.02496,0.025269999999999997,0.02502,0.0248,PR
deaths_by_totalCases,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.01835,0.02521,0.016130000000000002,0.017169999999999998,0.01967,0.02162,0.02138,0.02028,0.0233,0.02833,0.0274,0.03249,0.03365,0.04133,0.04376,0.04655,0.04591,0.0486,0.05272999999999999,0.0547,0.05505,0.059660000000000005,0.05946,0.059539999999999996,0.05819,0.06569,0.0708,0.07632,0.07841000000000001,0.08519,0.08437,0.08614,0.08688,0.08826,0.08587,0.09074,0.09007000000000001,0.0907,0.08522,0.08678,0.08953,0.09034,0.0906,0.09207,0.09147999999999999,0.09086,0.09063,0.09064,0.09847,0.09548,0.09764,0.10046000000000001,0.09867000000000001,0.1043,0.10945999999999999,0.11542999999999999,0.12197999999999999,0.12100999999999999,0.12209,0.10695999999999999,0.11074,0.10658,0.10633,0.10887000000000001,0.11308,0.10532000000000001,0.10446,0.10895999999999999,0.10860999999999998,0.10819000000000001,0.10592,0.10067000000000001,0.1001,0.10017000000000001,0.10023,0.10145,0.10384000000000002,0.10264000000000001,0.10288,0.09899,0.09757,0.09493,0.09598,0.09717,0.09535,0.0963,0.09642,0.09547,0.09559,0.09358,0.09634,0.09205,0.09236,0.09232,0.09155,0.09074,0.08981,0.08924,0.08836000000000001,0.08997000000000001,0.08822,0.08802,0.08951,0.08846,0.08843999999999999,0.08827,0.08821,0.08794,0.08778,0.08769,RJ
deaths_by_totalCases,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014709999999999999,0.014709999999999999,0.01299,0.0122,0.02174,0.018869999999999998,0.02273,0.02791,0.028460000000000003,0.028460000000000003,0.0315,0.04198,0.04198,0.04183,0.04498,0.05015,0.047869999999999996,0.047619999999999996,0.05,0.04968,0.04651,0.04635,0.045380000000000004,0.04605,0.04489,0.04802,0.0504,0.05122,0.053329999999999995,0.05409,0.056010000000000004,0.04972,0.047580000000000004,0.04318,0.04319,0.04382,0.04363,0.04427,0.0438,0.0437,0.04448,0.04534,0.04534,0.0456,0.04575,0.044360000000000004,0.04612,0.043789999999999996,0.043789999999999996,0.04527,0.0443,0.045939999999999995,0.04478,0.04384,0.04258,0.040010000000000004,0.040010000000000004,0.044410000000000005,0.0402,0.042980000000000004,0.042980000000000004,0.04147,0.041210000000000004,0.041210000000000004,0.040119999999999996,0.04142,0.04011,0.04072,0.041030000000000004,0.04339,0.04339,0.039580000000000004,0.04163,0.0421,0.03748,0.03802,0.03865,0.03768,0.03891,0.03846,0.0399,0.04122,0.043210000000000005,0.036289999999999996,0.03613,0.03658,0.037360000000000004,0.03726,0.03804,0.03764,0.03748,0.038560000000000004,0.03354,0.034230000000000003,0.03354,0.03361,0.03515,0.03511,0.03501,0.035769999999999996,0.036,0.036039999999999996,RN
