,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.0,1956.0,2190.0,2252.0,2254.0,2546.0,2766.0,2921.0,3070.0,3348.0,3406.0,3467.0,3655.0,3865.0,4003.0,4333.0,4657.0,4852.0,5341.0,5118.0,5336.0,5606.0,5948.0,6501.0,6630.0,6857.0,7363.0,7816.0,8307.0,9822.0,10647.0,11156.0,11553.0,11826.0,12695.0,13678.0,15138.0,15989.0,16446.0,17040.0,17295.0,18255.0,19466.0,20120.0,23139.0,24438.0,25154.0,26432.0,27912.0,30469.0,31682.0,33479.0,35622.0,37000.0,38554.0,MG
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0,12.0,12.0,14.0,14.0,16.0,16.0,19.0,21.0,102.0,105.0,114.0,124.0,124.0,134.0,153.0,153.0,154.0,156.0,172.0,181.0,184.0,189.0,199.0,200.0,201.0,201.0,207.0,212.0,215.0,215.0,216.0,217.0,217.0,220.0,220.0,267.0,269.0,296.0,347.0,350.0,374.0,404.0,417.0,451.0,507.0,522.0,532.0,650.0,808.0,872.0,957.0,1026.0,1163.0,1190.0,1227.0,1360.0,1461.0,1552.0,1701.0,1819.0,1907.0,1969.0,2110.0,2200.0,2290.0,2450.0,2621.0,2788.0,2893.0,2934.0,1496.0,3468.0,3776.0,3926.0,4227.0,4387.0,4665.0,4937.0,5326.0,5736.0,6518.0,6903.0,7081.0,MS
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,6,7,9,11,11,13,16,18,25,28,41,44,60,60,76,78,90,108,112,121,123,134,138,151,156,162,171,174,181,181,205,221,241,247,250,257,263,292,302,320,333,337,344,366,385,419,464,502,519,545,604,673,734,792,857,901,941,1005,1090,1187,1271,1363,1464,1594,1744,1909,2085,2262,2413,2485,2636,2817,3029,3388,3593,3788,4033,4243,4504,4762,5092,5390,5739,6108,6390,6877,7361,8166,8725,9262,9776,10270,11017,11571,12601,13406,14128,14687,15328,16304,17401,18356,19540,20333,21081,22078,23506,MT
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,4,5,5,7,13,16,18,20,26,34,41,49,75,82,86,123,154,167,169,217,237,259,310,384,487,557,627,641,685,902,1026,1195,1267,1579,1745,2070,2219,2319,2586,2999,3359,3727,3920,4262,4756,5524,5935,6519,7018,7348,8069,9059,10344,11479,12638,13464,14201,15467,17177,18929,20532,22697,24125,24815,27366,29882,31671,35132,37296,37859,37961,40014,43652,46473,49473,53860,53860,54271,57570,60636,63405,65151,66328,68510,69224,71243,74192,76623,80072,82881,84654,86020,88636,91708,94036,96472,99313,100443,101207,103206,105853,108067,110411,112531,113811,114535,116152,118744,PA
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,3,5,6,10,14,14,17,18,21,29,32,34,35,36,41,55,79,85,101,111,136,152,165,195,205,236,245,263,301,345,386,447,499,543,633,698,814,926,1034,1169,1219,1361,1493,1657,1849,2031,2156,2341,2525,2777,3045,3361,3739,4063,4347,4786,5300,5838,6238,6882,7508,7823,8016,8919,10209,11132,12011,12862,13162,13695,14859,16018,17579,18579,19787,20310,20951,22452,24032,25370,26556,27454,28013,28668,30128,31712,33382,35098,36526,36789,37258,39004,39917,40829,42837,44247,44684,45062,46962,48180,49541,50770,52311,52733,53151,54802,PB
totalCases,,,,,,,,,,,,,,,,,2,2,7,8,8,18,19,28,31,33,37,42,42,46,48,57,68,73,78,87,95,106,136,176,201,223,352,401,555,684,816,960,1154,1284,1484,1683,2006,2193,2459,2690,2908,3298,3605,3999,4507,4898,5358,5724,6194,6876,7334,8145,8643,8863,9325,9881,10824,11587,12470,13275,13768,14309,14901,15588,16209,18488,19452,20094,21242,22560,23911,25760,26786,27759,28366,28854,29919,30713,32255,33427,34450,34900,35508,36463,37507,38511,39361,40242,40705,41010,41935,42994,43872,44671,45261,45507,46427,47446,48626,49720,51118,52113,52494,52831,54022,55136,55804,57089,58107,58476,58858,59705,61119,62362,63457,65129,65642,66151,PE
totalCases,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,6,6,8,9,9,10,11,14,18,18,19,19,22,24,24,26,31,38,40,41,44,51,58,75,91,102,123,144,158,186,206,217,256,297,331,364,408,454,513,600,665,742,784,875,949,1051,1131,1233,1278,1332,1443,1612,1784,1905,2085,2252,2287,2440,2637,2852,3074,3258,3390,3550,3720,3966,4243,4503,4745,4931,5119,5506,5828,6064,6717,7105,7478,7621,7927,8359,8823,9337,9825,10153,10357,10881,11559,12099,12567,13813,14264,14476,15269,16227,17080,18023,18665,19158,19753,20422,22059,23307,24376,25561,26079,26511,27514,28411,PI
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,121.0,121.0,121.0,121.0,121.0,121.0,130.0,134.0,147.0,156.0,296.0,296.0,296.0,419.0,439.0,502.0,564.0,620.0,661.0,682.0,753.0,851.0,879.0,915.0,974.0,987.0,987.0,1030.0,1070.0,1086.0,1139.0,1210.0,1210.0,1210.0,1266.0,1318.0,1424.0,1449.0,1477.0,1477.0,1477.0,1492.0,1526.0,1526.0,1680.0,1680.0,1705.0,1705.0,1748.0,1795.0,1830.0,1806.0,1863.0,1863.0,1863.0,1971.0,2097.0,2256.0,2267.0,2402.0,2402.0,2402.0,2558.0,2744.0,2887.0,2887.0,3044.0,3044.0,3044.0,3113.0,3215.0,3294.0,3551.0,4019.0,4019.0,4019.0,4325.0,4414.0,4598.0,4780.0,4958.0,4958.0,4958.0,5110.0,5230.0,5816.0,6613.0,6997.0,6997.0,6997.0,6997.0,8817.0,PR
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.0,183.0,248.0,248.0,251.0,271.0,271.0,863.0,863.0,870.0,870.0,1119.0,1369.0,1580.0,1775.0,1888.0,2518.0,3144.0,3144.0,3650.0,4002.0,4002.0,5032.0,5711.0,6115.0,6284.0,6284.0,7260.0,8300.0,8968.0,8968.0,10732.0,10732.0,11654.0,13124.0,13917.0,14818.0,14818.0,17557.0,17557.0,21961.0,22953.0,25397.0,26843.0,28120.0,28120.0,31687.0,31778.0,31934.0,31934.0,31934.0,34136.0,37470.0,38735.0,40355.0,41838.0,41838.0,45319.0,47091.0,48783.0,51546.0,53445.0,56552.0,57933.0,60005.0,61690.0,62375.0,63817.0,65063.0,65063.0,69559.0,70407.0,70407.0,75899.0,76821.0,78316.0,78316.0,83800.0,85690.0,87850.0,88784.0,91106.0,92161.0,93423.0,95028.0,95028.0,98540.0,99805.0,97719.0,101554.0,101554.0,RJ
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,124.0,124.0,124.0,161.0,161.0,289.0,289.0,289.0,289.0,289.0,289.0,352.0,352.0,381.0,413.0,415.0,415.0,415.0,415.0,662.0,662.0,662.0,662.0,662.0,662.0,734.0,804.0,853.0,853.0,872.0,872.0,872.0,992.0,992.0,997.0,997.0,997.0,997.0,997.0,1410.0,1410.0,1410.0,1410.0,1410.0,1410.0,1824.0,1410.0,1410.0,1824.0,1824.0,1824.0,1824.0,1824.0,1824.0,1096.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,2035.0,2035.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,RN
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,5,5,6,6,6,6,8,9,9,10,10,11,14,18,23,26,28,32,34,42,42,69,73,92,110,128,160,199,223,223,250,290,328,364,393,413,433,502,585,654,705,756,861,943,1098,1222,1263,1302,1398,1460,1612,1686,1794,1919,1963,2043,2413,2499,2659,2774,3109,3201,3268,3493,3862,4252,4502,4743,4942,5172,5477,5714,6459,6862,7701,8110,8626,9220,9850,10547,11224,11710,11865,12180,13010,13567,13804,14353,14952,15181,15827,16499,17424,18173,19271,19735,19820,20406,21251,21523,21970,22241,22957,23479,23921,24564,RO
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,8,8,10,12,16,16,16,16,26,30,37,42,42,42,49,52,63,75,79,83,113,114,142,164,201,222,244,247,280,297,304,345,401,407,425,425,452,519,602,668,740,806,869,932,1020,1124,1202,1290,1295,1411,1411,1500,1589,1706,1791,1882,1988,2067,2146,2306,2439,2439,2564,2682,2959,3098,3299,3475,3692,3850,4143,4143,4831,5238,5529,5768,6056,6347,6594,6712,6842,6875,6881,6935,7150,7421,7650,8037,8120,8188,10340,10803,11872,12911,13078,14341,14459,14641,15153,17583,18323,18769,18922,18948,19088,19284,RR
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,178.0,178.0,178.0,184.0,184.0,640.0,678.0,693.0,703.0,715.0,730.0,784.0,825.0,855.0,882.0,921.0,948.0,969.0,1049.0,1068.0,1132.0,1238.0,1325.0,1373.0,1461.0,1584.0,1681.0,1816.0,2117.0,2140.0,2140.0,2218.0,2373.0,3735.0,3735.0,4184.0,4449.0,4597.0,4689.0,5012.0,5275.0,5891.0,6246.0,6709.0,6886.0,7103.0,7560.0,7897.0,8160.0,8391.0,8542.0,8560.0,8587.0,10410.0,10906.0,11277.0,11592.0,12027.0,12233.0,12613.0,13288.0,13803.0,14290.0,14836.0,15373.0,15741.0,15994.0,16824.0,17561.0,18446.0,19135.0,19868.0,20230.0,20625.0,21664.0,22618.0,23511.0,24673.0,25702.0,26358.0,26893.0,28086.0,RS
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.0,1469.0,1469.0,1469.0,1469.0,1469.0,1469.0,2132.0,2333.0,2516.0,2516.0,2742.0,2929.0,3072.0,3170.0,3170.0,3170.0,3170.0,3855.0,4074.0,4074.0,4296.0,4539.0,4818.0,4964.0,5207.0,5516.0,5828.0,6164.0,6442.0,6720.0,6931.0,6931.0,6931.0,7828.0,8203.0,8203.0,8919.0,9218.0,9430.0,9430.0,9430.0,12633.0,12633.0,13599.0,14078.0,14377.0,14824.0,14824.0,16377.0,16945.0,16945.0,16945.0,18694.0,18694.0,20505.0,21402.0,22864.0,22864.0,22864.0,26887.0,28115.0,28115.0,SC
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,17.0,18.0,18.0,18.0,18.0,18.0,26.0,27.0,27.0,31.0,31.0,33.0,37.0,37.0,38.0,38.0,39.0,40.0,43.0,45.0,45.0,45.0,45.0,46.0,54.0,54.0,54.0,79.0,79.0,105.0,105.0,105.0,107.0,107.0,107.0,299.0,299.0,299.0,920.0,1073.0,1213.0,1213.0,1318.0,1318.0,2177.0,2177.0,2189.0,2209.0,2222.0,2242.0,2242.0,2431.0,2783.0,2953.0,2999.0,2999.0,2999.0,3027.0,3027.0,4435.0,4485.0,4525.0,4575.0,4575.0,4732.0,4732.0,4732.0,5391.0,5391.0,5526.0,6213.0,6213.0,6213.0,6449.0,6912.0,6912.0,6912.0,7579.0,7579.0,7579.0,7579.0,8115.0,8115.0,10109.0,14878.0,14878.0,14878.0,14878.0,18949.0,18949.0,18949.0,SE
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,1524.0,15296.0,16494.0,16814.0,17589.0,18245.0,18955.0,19665.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,49295.0,157845.0,162851.0,162851.0,174289.0,175439.0,176494.0,194958.0,SP
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,5,7,7,7,8,9,9,10,11,12,12,12,13,16,17,19,19,23,23,23,25,26,26,27,29,31,32,33,34,35,37,37,43,50,58,67,79,116,137,164,191,246,267,303,351,423,494,573,688,747,828,932,1029,1179,1279,1279,1496,1646,1809,1976,2205,2430,2430,2591,2696,2858,3023,3277,3611,3981,4176,4345,4483,4698,4881,5505,5644,5644,6052,6257,6529,6744,6931,6972,7137,7309,7573,7774,7956,8203,8354,8477,8766,9098,9425,9681,9966,10228,10359,10764,11222,11454,11736,12282,12476,12640,13004,13004,TO
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,20.0,27.0,42.0,42.0,56.0,56.0,66.0,66.0,78.0,78.0,78.0,78.0,104.0,355.0,575.0,796.0,845.0,999.0,1016.0,1080.0,2977.0,3152.0,4256.0,4445.0,4992.0,5112.0,5573.0,6667.0,7342.0,8522.0,9087.0,10374.0,11614.0,12363.0,13663.0,15111.0,15999.0,18024.0,19329.0,20452.0,21384.0,22033.0,24153.0,28602.0,34168.0,35787.0,38709.0,47398.0,50447.0,55282.0,61358.0,69313.0,73615.0,79884.0,83525.0,94294.0,102199.0,111336.0,121275.0,130340.0,150562.0,162845.0,170285.0,180331.0,190109.0,201746.0,215630.0,258329.0,269237.0,280709.0,294114.0,304717.0,321336.0,341372.0,354934.0,366506.0,378257.0,396737.0,413916.0,431071.0,445123.0,459436.0,469141.0,477709.0,490005.0,521376.0,534580.0,556126.0,589074.0,600796.0,614805.0,628326.0,660469.0,679524.0,702399.0,727715.0,746018.0,757811.0,788318.0,926192.0,960837.0,984615.0,1013951.0,1038259.0,1062542.0,1107012.0,TOTAL
