,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state
deaths_per_100k_inhabitants,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.00945,0.014169999999999999,0.0189,0.028339999999999997,0.028339999999999997,0.028339999999999997,0.04252,0.05196,0.06614,0.07086,0.08031,0.08031,0.09448,0.10865,0.12755,0.14172,0.15589,0.16534000000000001,0.18423,0.18423,0.19368,0.20785,0.22202,0.24092,0.25509,0.27399,0.28815999999999997,0.29288000000000003,0.3354,0.37790999999999997,0.38736,0.41571,0.41571,0.42043,0.42515,0.44405,0.45821999999999996,0.50074,0.52436,0.55742,0.56215,0.5716,0.5999399999999999,0.63773,0.65663,0.6896899999999999,0.7085899999999999,0.73693,0.76055,0.7889,0.83614,0.9022700000000001,0.9495100000000001,1.02509,1.06761,1.08651,1.1054,1.13374,1.2046,1.21405,1.2423899999999999,1.28019,1.31325,1.36522,1.4455200000000001,1.52583,1.62503,1.7384099999999998,1.7762,1.7951,1.88485,1.93209,2.03602,2.10688,2.14467,2.2438700000000003,2.27221,2.37142,2.53675,2.6926400000000004,2.8343599999999998,3.00442,3.12252,3.25007,3.4012300000000004,3.64215,3.80749,3.9350400000000003,4.16651,4.24682,4.4405,4.5586,4.757,5.00265,5.24357,5.588419999999999,5.67345,5.81044,6.05609,MG
deaths_per_100k_inhabitants,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03598,0.03598,0.03598,0.03598,0.03598,0.03598,0.03598,0.07197,0.07197,0.07197,0.07197,0.07197,0.07197,0.14394,0.14394,0.14394,0.17992,0.17992,0.17992,0.17992,0.17992,0.21591,0.21591,0.25189,0.25189,0.25189,0.25189,0.32386,0.32386,0.32386,0.32386,0.32386,0.32386,0.35984,0.35984,0.35984,0.35984,0.35984,0.39583,0.39583,0.39583,0.39583,0.43181,0.4678,0.50378,0.50378,0.53977,0.53977,0.57575,0.57575,0.61173,0.61173,0.61173,0.61173,0.61173,0.61173,0.64772,0.64772,0.64772,0.6837,0.7196899999999999,0.7196899999999999,0.7196899999999999,0.7196899999999999,0.7196899999999999,0.75567,0.75567,0.75567,0.79166,0.79166,0.86362,0.89961,1.00756,1.00756,1.11551,1.1874799999999999,1.29544,1.29544,1.40339,1.43937,1.5473299999999999,1.6193,1.6912599999999998,1.9791400000000001,2.01512,2.19505,2.33898,2.44694,2.5908700000000002,2.69883,2.73481,3.05867,3.27458,3.8503300000000005,4.10222,4.21017,4.39009,4.606,4.606,MS
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,6,7,9,11,11,13,16,18,25,28,41,44,60,60,76,78,90,108,112,121,123,134,138,151,156,162,171,174,181,181,205,221,241,247,250,257,263,292,302,320,333,337,344,366,385,419,464,502,519,545,604,673,734,792,857,901,941,1005,1090,1187,1271,1363,1464,1594,1744,1909,2085,2262,2413,2485,2636,2817,3029,3388,3593,3788,4033,4243,4504,4762,5092,5390,5739,6108,6390,6877,7361,8166,8725,9262,9776,10270,11017,11571,12601,13406,14128,14687,15328,16304,17401,18356,19540,20333,21081,22078,23506,MT
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,4,5,5,7,13,16,18,20,26,34,41,49,75,82,86,123,154,167,169,217,237,259,310,384,487,557,627,641,685,902,1026,1195,1267,1579,1745,2070,2219,2319,2586,2999,3359,3727,3920,4262,4756,5524,5935,6519,7018,7348,8069,9059,10344,11479,12638,13464,14201,15467,17177,18929,20532,22697,24125,24815,27366,29882,31671,35132,37296,37859,37961,40014,43652,46473,49473,53860,53860,54271,57570,60636,63405,65151,66328,68510,69224,71243,74192,76623,80072,82881,84654,86020,88636,91708,94036,96472,99313,100443,101207,103206,105853,108067,110411,112531,113811,114535,116152,118744,PA
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,3,5,6,10,14,14,17,18,21,29,32,34,35,36,41,55,79,85,101,111,136,152,165,195,205,236,245,263,301,345,386,447,499,543,633,698,814,926,1034,1169,1219,1361,1493,1657,1849,2031,2156,2341,2525,2777,3045,3361,3739,4063,4347,4786,5300,5838,6238,6882,7508,7823,8016,8919,10209,11132,12011,12862,13162,13695,14859,16018,17579,18579,19787,20310,20951,22452,24032,25370,26556,27454,28013,28668,30128,31712,33382,35098,36526,36789,37258,39004,39917,40829,42837,44247,44684,45062,46962,48180,49541,50770,52311,52733,53151,54802,PB
totalCases,,,,,,,,,,,,,,,,,2,2,7,8,8,18,19,28,31,33,37,42,42,46,48,57,68,73,78,87,95,106,136,176,201,223,352,401,555,684,816,960,1154,1284,1484,1683,2006,2193,2459,2690,2908,3298,3605,3999,4507,4898,5358,5724,6194,6876,7334,8145,8643,8863,9325,9881,10824,11587,12470,13275,13768,14309,14901,15588,16209,18488,19452,20094,21242,22560,23911,25760,26786,27759,28366,28854,29919,30713,32255,33427,34450,34900,35508,36463,37507,38511,39361,40242,40705,41010,41935,42994,43872,44671,45261,45507,46427,47446,48626,49720,51118,52113,52494,52831,54022,55136,55804,57089,58107,58476,58858,59705,61119,62362,63457,65129,65642,66151,PE
totalCases,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,6,6,8,9,9,10,11,14,18,18,19,19,22,24,24,26,31,38,40,41,44,51,58,75,91,102,123,144,158,186,206,217,256,297,331,364,408,454,513,600,665,742,784,875,949,1051,1131,1233,1278,1332,1443,1612,1784,1905,2085,2252,2287,2440,2637,2852,3074,3258,3390,3550,3720,3966,4243,4503,4745,4931,5119,5506,5828,6064,6717,7105,7478,7621,7927,8359,8823,9337,9825,10153,10357,10881,11559,12099,12567,13813,14264,14476,15269,16227,17080,18023,18665,19158,19753,20422,22059,23307,24376,25561,26079,26511,27514,28411,PI
deaths_per_100k_inhabitants,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017490000000000002,0.017490000000000002,0.017490000000000002,0.02624,0.02624,0.02624,0.034980000000000004,0.04373,0.061220000000000004,0.08746,0.12244000000000001,0.13119,0.14868,0.2099,0.22739,0.23614000000000002,0.27111999999999997,0.28861,0.34109,0.35858,0.37606999999999996,0.38482,0.42855,0.45478999999999997,0.46353,0.48102,0.52475,0.5422399999999999,0.58597,0.6209600000000001,0.65594,0.67343,0.69092,0.73465,0.76964,0.80462,0.8133699999999999,0.8396,0.84835,0.8920799999999999,0.9095700000000001,0.93581,0.9533,0.96205,0.97954,0.99703,1.01452,1.04951,1.067,1.08449,1.10198,1.11073,1.13696,1.1632,1.22442,1.2594100000000001,1.30314,1.33812,1.36436,1.39934,1.43432,1.46056,1.52178,1.55677,1.62673,1.6354799999999998,1.70545,1.7841599999999997,1.83663,1.92409,2.03779,2.09026,2.1339900000000003,2.18647,2.27393,2.46634,2.5188099999999998,2.64126,2.79868,2.92112,2.9910900000000002,3.25347,3.4458800000000003,3.62954,3.74324,3.82195,3.9443900000000003,4.10182,4.35545,4.5566,4.71403,4.93268,5.02888,5.23878,5.361219999999999,5.676080000000001,5.79852,6.17459,6.367,6.67311,6.95297,7.17162,7.44274,PR
deaths_per_100k_inhabitants,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01158,0.01158,0.01738,0.01738,0.02317,0.03475,0.04634,0.052129999999999996,0.057920000000000006,0.0753,0.09847,0.10425999999999999,0.13322,0.16218,0.23748000000000002,0.27223,0.33594,0.37069,0.41123999999999994,0.5155,0.6139600000000001,0.70663,0.85144,0.8977700000000001,0.98465,1.08891,1.2974299999999999,1.5349,1.74342,1.9751,2.24154,2.32842,2.44426,2.67015,2.83812,3.0698,3.3014900000000003,3.5621300000000002,3.73589,3.92124,4.27456,4.59891,4.94644,5.33451,5.62411,5.9021300000000005,6.16857,6.50451,6.97946,8.07417,8.7055,9.57431,9.92763,10.25199,11.16714,11.87377,13.01481,14.1211,15.14051,15.72551,16.51902,17.83383,18.74898,19.76259,21.18165,22.61809,23.12779,23.7765,25.25928,26.67255,28.12636,29.417990000000003,30.56483,30.9529,31.636359999999996,32.93379,34.81042,36.64652,37.49216,38.45365,38.84751,39.27612,40.127559999999995,41.3439,42.64711,42.95989,43.9735,44.43687,44.76123,46.14553,47.135979999999996,48.723009999999995,49.782959999999996,51.10935,51.40475,51.74069,53.01494,53.837419999999995,54.73519,55.52871,56.69871,56.87246999999999,57.040440000000004,58.384209999999996,59.06766999999999,59.84381,60.816880000000005,61.5351,61.78416,61.96371,63.023669999999996,RJ
deaths_per_100k_inhabitants,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02852,0.02852,0.02852,0.02852,0.05703,0.05703,0.11406,0.17109000000000002,0.19960999999999998,0.19960999999999998,0.22812,0.31367,0.31367,0.31367,0.3707,0.48477,0.5132800000000001,0.5418,0.57031,0.65586,0.68437,0.74141,0.7699199999999999,0.7984399999999999,0.82695,0.9695299999999999,1.08359,1.14062,1.2546899999999999,1.2832,1.36875,1.5398399999999999,1.59687,1.59687,1.68242,1.73945,1.76797,1.9390599999999998,2.0531200000000003,2.16719,2.30976,2.48086,2.48086,2.50937,2.65195,2.9941400000000002,3.3363199999999997,3.4789,3.4789,3.8781199999999996,3.9636699999999996,4.5625,4.84765,5.07578,5.16132,5.2468699999999995,5.2468699999999995,6.04531,6.27343,6.90077,6.90077,7.642180000000001,8.69726,8.69726,9.21054,9.72382,10.46522,10.778889999999999,11.03554,11.69139,11.69139,12.29022,13.08866,13.887089999999999,14.14374,14.685529999999998,15.19881,15.227329999999998,15.769120000000001,16.681620000000002,17.85076,18.67771,19.76131,19.87537,19.87537,20.81638,21.3867,23.21169,24.66599,25.549970000000002,25.920679999999997,26.719109999999997,28.48708,29.6277,30.568720000000003,31.59528,33.56286,34.361290000000004,34.589420000000004,35.758559999999996,36.7566,36.813629999999996,RN
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,5,5,6,6,6,6,8,9,9,10,10,11,14,18,23,26,28,32,34,42,42,69,73,92,110,128,160,199,223,223,250,290,328,364,393,413,433,502,585,654,705,756,861,943,1098,1222,1263,1302,1398,1460,1612,1686,1794,1919,1963,2043,2413,2499,2659,2774,3109,3201,3268,3493,3862,4252,4502,4743,4942,5172,5477,5714,6459,6862,7701,8110,8626,9220,9850,10547,11224,11710,11865,12180,13010,13567,13804,14353,14952,15181,15827,16499,17424,18173,19271,19735,19820,20406,21251,21523,21970,22241,22957,23479,23921,24564,RO
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,8,8,10,12,16,16,16,16,26,30,37,42,42,42,49,52,63,75,79,83,113,114,142,164,201,222,244,247,280,297,304,345,401,407,425,425,452,519,602,668,740,806,869,932,1020,1124,1202,1290,1295,1411,1411,1500,1589,1706,1791,1882,1988,2067,2146,2306,2439,2439,2564,2682,2959,3098,3299,3475,3692,3850,4143,4143,4831,5238,5529,5768,6056,6347,6594,6712,6842,6875,6881,6935,7150,7421,7650,8037,8120,8188,10340,10803,11872,12911,13078,14341,14459,14641,15153,17583,18323,18769,18922,18948,19088,19284,RR
deaths_per_100k_inhabitants,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008790000000000001,0.008790000000000001,0.017580000000000002,0.017580000000000002,0.017580000000000002,0.035160000000000004,0.035160000000000004,0.04395,0.04395,0.052739999999999995,0.061529999999999994,0.061529999999999994,0.07032000000000001,0.07032000000000001,0.08789,0.12305,0.13184,0.14063,0.14063,0.14942,0.15821,0.167,0.18458,0.21095,0.21095,0.22853,0.23731999999999998,0.23731999999999998,0.24611,0.25489,0.29884,0.30763,0.334,0.39553,0.43068,0.44826000000000005,0.50979,0.54495,0.5713199999999999,0.5889,0.668,0.72953,0.79105,0.79984,0.835,0.8525799999999999,0.87895,0.9229,0.9756299999999999,1.05474,1.1074700000000002,1.16021,1.21295,1.26568,1.32721,1.40632,1.41511,1.45905,1.51179,1.54695,1.5821100000000001,1.73153,1.78426,1.837,1.8721599999999998,1.8985299999999998,1.9161099999999998,1.9688400000000001,2.03916,2.15342,2.26769,2.32921,2.4259,2.48742,2.51379,2.5577400000000003,2.65442,2.7774799999999997,2.839,2.96205,3.02358,3.07632,3.1642099999999997,3.28727,3.40153,3.5685300000000004,3.71795,3.7794800000000004,3.81463,4.025580000000001,4.19258,4.3947400000000005,4.3947400000000005,4.74632,4.86937,4.91332,5.115480000000001,5.39674,5.59011,5.82742,6.0647400000000005,6.28448,6.38995,6.67121,6.97006,RS
deaths_per_100k_inhabitants,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01396,0.01396,0.01396,0.01396,0.02791,0.02791,0.02791,0.06978999999999999,0.06978999999999999,0.13957,0.13957,0.15353,0.20936,0.23726999999999998,0.25123,0.25123,0.2931,0.33497,0.36289,0.3908,0.40476,0.41871,0.43267,0.44663,0.4885,0.4885,0.51641,0.54433,0.5862,0.5862,0.5862,0.60016,0.61411,0.61411,0.64203,0.66994,0.69786,0.72577,0.72577,0.76764,0.8095100000000001,0.82347,0.8793,0.8793,0.89326,0.9072100000000001,0.96304,1.0188700000000002,1.0188700000000002,1.08866,1.10261,1.13053,1.15844,1.18636,1.2701,1.31197,1.3678,1.39571,1.43759,1.4655,1.5213299999999998,1.68881,1.7586,1.8283900000000002,1.8702599999999998,1.8981700000000001,1.99587,2.0377400000000003,2.06566,2.12149,2.17731,2.21919,2.3168900000000003,2.38667,2.4704200000000003,2.4983299999999997,2.56812,2.59603,2.66582,2.69373,2.7216400000000003,2.77747,2.95892,3.01474,3.09849,3.2659700000000003,3.30784,3.4334599999999997,3.57303,3.6707300000000003,3.89404,4.03362,4.15923,4.24297,4.35463,4.52212,4.75939,4.84313,5.05249,5.24789,5.3455900000000005,5.48516,5.6666,5.862,SC
deaths_per_100k_inhabitants,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08701,0.08701,0.13051,0.13051,0.17401,0.17401,0.17401,0.17401,0.17401,0.17401,0.17401,0.17401,0.17401,0.17401,0.17401,0.17401,0.21750999999999998,0.21750999999999998,0.21750999999999998,0.30451999999999996,0.30451999999999996,0.34802,0.34802,0.39153000000000004,0.39153000000000004,0.47853,0.47853,0.52204,0.6090399999999999,0.6090399999999999,0.6090399999999999,0.6090399999999999,0.73955,0.91356,1.0005700000000002,1.0875700000000001,1.2180799999999998,1.4356,1.4791,1.60961,1.60961,1.82712,2.0446400000000002,2.17515,2.30566,2.47967,2.5666700000000002,2.74068,3.0017,3.3062199999999997,3.56724,3.74125,4.04577,4.4808,5.04634,5.52487,5.87289,6.17742,6.48194,6.873460000000001,7.221489999999999,7.4825,7.83053,8.09154,8.61358,9.04861,9.44013,10.179680000000001,10.96274,11.48477,12.31133,13.26839,13.746920000000001,14.355970000000001,15.31303,15.83506,16.661620000000003,17.40117,18.53225,19.48931,20.09835,21.359939999999998,22.22999,22.79553,24.100620000000003,25.18819,26.31927,26.971809999999998,28.40741,29.40798,31.539620000000003,31.539620000000003,33.23623,34.06279,34.71533,35.93342,37.020990000000005,SE
