,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06
newDeaths,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,3,2,3,1,2,0,3,3,4,3,3,2,4,0,2,3,3,4,3,4,3,1,9,9,2,6,0,1,1,4,3,9,5,7,1,2,6,8,4,7,4,6,5,6,10,14,10,16,9,4,4,6,15,2,6,8,7,11,17,17,21,24,8,4,19,10,22,15,8,21,6,21,35,33,30,36,25,27,32,51,35,27,49,17,41,25,42,52,51,73,18,29,52,MG,,,,,,,,,,,
newDeaths,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,1,0,1,0,2,4,1,1,0,1,1,1,2,3,0,2,1,0,1,1,5,1,3,7,4,2,7,4,3,2,9,7,7,1,4,2,3,5,6,9,6,6,6,6,7,9,1,5,6,4,4,17,6,6,4,3,2,6,8,13,13,7,11,7,3,5,11,14,7,14,7,6,10,14,13,19,17,7,4,24,19,23,0,40,14,5,23,32,22,27,27,25,12,32,34,RS,,,,,,,,,,,
newDeaths,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,0,1,2,4,1,0,0,1,0,2,0,1,0,2,2,1,1,0,1,1,0,2,0,1,0,0,8,7,-1,5,0,0,0,3,9,6,0,2,1,3,0,5,7,10,0,0,1,8,4,7,4,5,0,3,28,4,5,3,5,1,0,11,5,5,12,5,5,22,11,6,20,14,6,11,18,31,20,9,41,9,2,31,24,30,51,30,19,0,33,78,GO,,,,,,,,,,,
newDeaths,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,2,1,1,4,7,9,4,12,10,9,7,13,17,13,28,17,26,19,11,18,26,22,30,40,29,34,35,58,30,27,38,25,24,39,58,54,42,82,45,75,40,70,67,74,83,80,55,124,101,93,91,132,87,56,48,80,140,98,103,71,67,68,58,79,122,71,65,35,45,103,78,102,61,90,71,31,73,50,48,45,46,86,18,87,86,63,122,98,43,31,47,65,74,100,48,27,20,71,PE,,,,,,,,,,,
newDeaths,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,2,3,4,1,2,7,2,1,4,2,6,2,2,1,5,3,1,2,5,2,5,4,4,2,2,5,4,4,1,3,1,5,2,3,2,1,2,2,2,4,2,2,2,1,3,3,7,4,5,4,3,4,4,3,7,4,8,1,8,9,6,10,13,6,5,6,10,22,6,14,18,14,8,30,22,21,13,9,14,18,29,23,18,25,11,24,14,36,14,43,22,35,32,25,31,PR,,,,,,,,,,,
newDeaths,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1,0,1,3,0,0,2,4,1,1,1,3,1,2,1,1,1,5,4,2,4,1,3,6,2,0,3,2,1,6,4,4,5,6,0,1,5,12,12,5,0,14,3,21,10,8,3,3,0,28,8,22,0,26,37,0,18,18,26,11,9,23,0,21,28,28,9,19,18,1,19,32,41,29,38,4,0,33,20,64,51,31,13,28,62,40,33,36,69,28,8,41,35,2,RN,,,,,,,,,,,
newDeaths,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,5,0,1,4,2,1,0,3,3,2,2,1,1,1,1,3,0,2,2,3,0,0,1,1,0,2,2,2,2,0,3,3,1,4,0,1,1,4,4,0,5,1,2,2,2,6,3,4,2,3,2,4,12,5,5,3,2,7,3,2,4,4,3,7,5,6,2,5,2,5,2,2,4,13,4,6,12,3,9,10,7,16,10,9,6,8,12,17,6,15,14,7,10,13,14,SC,,,,,,,,,,,
newDeaths,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,5,3,4,4,7,10,10,3,9,9,19,16,18,21,16,21,3,8,14,27,21,32,17,16,31,29,45,51,25,47,37,64,102,55,68,88,42,31,63,62,75,96,44,38,20,58,70,59,49,75,14,23,71,39,73,47,36,5,19,31,36,45,16,33,18,21,44,48,37,29,36,27,20,38,29,26,19,26,7,14,15,24,21,8,33,12,8,31,20,19,25,31,11,9,14,AM,,,,,,,,,,,
newDeaths,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,3,0,3,2,3,0,3,1,3,2,2,8,1,5,4,3,4,3,1,9,6,16,7,3,5,6,0,MS,,,,,,,,,,,
newDeaths,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,2,0,1,2,0,0,0,3,4,2,2,3,5,1,3,0,5,5,3,3,4,2,4,6,7,6,4,7,10,13,11,8,7,7,9,8,6,8,6,12,10,9,17,18,12,19,22,11,14,22,12,19,17,26,22,14,29,20,13,30,25,26,15,33,23,49,0,39,19,15,28,25,SE,,,,,,,,,,,
